Property,DataType,Access,DSLoadProps,DSSaveProps,Server,Collection,File,Document,Version,SavedQuery,Calendar,BulletinBoard,Bulletin,Weblog,WeblogEntry,Wiki,WikiPage,URL,User,Group,Description
NameConflictResolver,Object,R/W,,,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,Runs a resolution dialog
Options,Integer,R/W,,,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,Controls ItemObj behavior
Contents,Variant,R/W,,,,,A,A,A,,,,,,,,,,,,Content data of file item
AlternateRendition,Object,R/W,,,,,A,A,A,,,,,,,,,,,,Alternate (2nd) rendition of a compound document
PreferredRendition,Object,R/W,,,,,A,A,A,,,,,,,,,,,,Preferred (1st) rendition of a compound document
ReferrerItemObject,Object,R/W,,,,,A,A,A,,,,,,,,,,,,File that refers to this ItemObj
ParentItemObject,Object,R/W,,,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,ItemObj representation of primary parent item
CompoundContainer,Object,R/W,,,,A,A,A,A,,,,,,,,,,,,Collection that holds attachments
ClientProp,String,R/W,,,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,Special property defined by a client application and stored in DocuShare client_data property
CorePropIds,Integer,R,,,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,Core property IDs for this object
PropIds,Integer,R,,,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,Type specific property IDs for this object
Server,Object,R/W,,,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,Server object
Picture,Object,R,,,,,A,A,A,,,,,,,,,,,,Visual representation of an image file
Prop,Variant,R/W,,,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,Accesses a property of ItemObj by name
Filename,String,R/W,A,,,,A,A,A,,,,,,,,,,,,DocuShare property ÅfdocumentÅf
IsContainer,Boolean,R,,,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,"True, if the item is a container type"
IsCustomType,Boolean,R,,,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,"True, if the item is a custom object type derived from a standard object type, for example, File"
HighestVersionUsed,Integer,R/W,A,,,,A,A,,,,,,,,,,,,,DocuShare property Åfhighest_version_us edÅf
RequiredPropsAreSet,Boolean,R,,,,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,Indicates whether all required DocuShare properties have a non-empty value
ObjectTypeNum,Integer,R,,,,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,DSX_OBJTYPE number that corredponds to this ItemObj
BaseTypeNum,Integer,R/W,,,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,Numeric base type ID
BaseType,String,R/W,,,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,Base type from which this ItemObj item was derived
ContainerItemObject,Object,R/W,,,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,Container of this ItemObj item
LocalProp,Variant,R/W,,,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A property temporary in scope and local to this ItemObj
TypeId,String,R/W,,,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,Numeric type ID of this ItemObj item
ExpirationDate,Date,R/W,A,A,,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,DocuShare property Åfexpiration_dateÅf
